site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Mult,10000749,FS0272,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,09-Sep-91,NF880637,Western Isles,No,N/A,,,,,Fish,Seawater,,88000,863700,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Ceann Dibig,10000748,FS0561,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,10-Aug-91,NG155971,Western Isles,No,N/A,,,,,Fish,Seawater,,115500,897100,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Loch Stockinish ,10000892,FS0190,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,10-Aug-91,NG130913,Western Isles,No,N/A,,,,,Fish,Seawater,Low,113000,891300,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Quarry Point,10000802,FS0698,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Aug-91,NR998980,Argyll and Bute,Yes,Crarae,Furnace,Argyll,PA32 8YA,,Fish,Seawater,Medium,199800,698000,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Camas an Eilean,10000757,FS0049,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,20-Jun-91,NG756582,Highland,No,N/A,,,,,Fish,Seawater,Medium,175600,858200,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Langass Hatchery,10000853,FS0643,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,01-Mar-91,NF833656,Western Isles,Yes,Langass Hatchery,Lochmaddy,"Isle of North Uist, Western Isles",HS6 5HA,,Fish,Freshwater,Low,83300,865600,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
South Loch Scadavay,10000746,FS0642,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Mar-91,NF878664,Western Isles,No,N/A,,,,,Fish,Freshwater,Low,87800,866400,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
North Bay,10000284,FS0530,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-May-90,NF850405,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,85000,840500,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Tuath,10000925,FS0617,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-May-90,NM419414,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,141900,741400,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Glenan Bay,10000888,FS0590,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,17-Aug-89,NR918695,Argyll and Bute,Yes,Portavadie Fish Farm,Millhouse Tighnabruaich,Argyll,PA21 2DA,,Fish,Seawater,Medium,191800,669500,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
