site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Loch Glashan,10000745,FS0002,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Jan-86,NR915932,Argyll and Bute,No,N/A,,,,,Fish,Freshwater,Low,191500,693200,Not in a management area,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Loch Langavat,10000824,FS0149,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Jan-86,NG049889,Western Isles,Yes,Isle of Harris,,,HS3 3JD,,Fish,Freshwater,Low,104900,888900,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Loch Meanenvagh,10000751,FS0494,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-86,NF876486,Western Isles,No,N/A,,,,,Fish,Seawater,Low,87600,848600,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Strome,10000808,FS0570,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,17-Oct-85,NG876365,Highland,No,Dunosdale,Lochcarron,Ross-shire,IV54 8YH,,Fish,Seawater,Medium,187600,836500,"14a - Carron, Kishorn, Alsh, Duich",Highland,Bakkafrost Scotland,Atlantic Salmon
Ardyne,10000916,FS0559,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Oct-85,NS093689,Argyll and Bute,Yes,Toward,Argyll,Argyll,PA23 7UJ,,Fish,Seawater,Medium,209300,668900,19b - Kyles of Bute,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Couldoran Hatchery,10000799,FS0301,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,01-Jan-85,NG841442,Highland,Yes,Couldoran,Kishorn,,IV54 8UY,,Fish,Freshwater,Medium,184100,844200,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
North Channel,10000321,FS0417,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-85,NF840408,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,84000,840800,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
West Kyles of Bute,10000755,FS0199,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-85,NR999747,Argyll and Bute,No,N/A,,,,,Fish,Seawater,,199900,674700,,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Upper Loch Tormasad,10000850,FS0194,Atlantic Salmon,Broodfish,N/A,0,N/A,14-Dec-84,NF827652,Western Isles,No,Langass Hatchery,Lochmaddy,"Isle of North Uist, Western Isles",HS6 5HA,,Fish,Freshwater,Low,82700,865200,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Amhuinnsuidhe Hatchery,10000777,FS0148,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,01-Jan-83,NB057081,Western Isles,No,N/A,,,,,Fish,Freshwater,Medium,105700,908100,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Kinlochmoidart Hatchery,10000846,FS0146,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,01-Jan-83,NM724718,Highland,Yes,Kinlochmoidart Hatchery,"Kinlochmoidart, Lochailort",Inverness-shire,PH38 4ND,,Fish,Freshwater,Medium,172400,771800,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Hole Bay,10000328,FS0154,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Mar-77,NF840404,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,84000,840400,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Site 1,20002316,SS0326,N/A,N/A,Seawater Trestles or trays,250,,27-Jun-89,NR918835,Argyll and Bute,Yes,Otter Spit,Loch Fyne,Argyll,-,,Shellfish,Seawater,Low,191800,683500,19a - Fyne,Strathclyde,Ballimore Estate,N/A
Corgrain Point,20002818,SS0927,N/A,N/A,Seawater Trestles or trays,22,120 suspended baskets,08-May-19,NH610483,Highland,Yes,South by Southwest,Hights of Inchvannie,,IV14 9AE,,Shellfish,Seawater,Low,261000,848300,Not in a management area,Highland,Beauly Firth Oysters,N/A
Glenforsa Hatchery,10001857,FS1320,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,31-Jul-18,NM596426,Argyll and Bute,Yes,Glenforsa Estate,"Glenforsa, Aros",,PA72 6JN,,Fish,Freshwater,Low,159600,742600,Not in a management area,Strathclyde,Benmore Estate Ltd,Atlantic Salmon
Snarraness,10006591,SS0982,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,02-Jul-25,HU235571,Shetland,New,Sparl,Brae,,ZE2 9QJ,01806 520000,Shellfish,Seawater,Medium,423500,1157100,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Basta North,10005391,SS0976,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,10-Aug-23,HU522959,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,452200,1195900,"1b - S Unst, E Yell, Fetlar",Shetland,Blueshell Mussels Ltd,Common mussel
Bight of Bellister,10005342,SS0967,Common mussel,All stages,N/A,1,N/A,15-Feb-23,HU484607,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,448400,1160700,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Blueshell Mussels Ltd,Common mussel
Bight of Breawick,10005343,SS0968,Common mussel,All stages,N/A,0,N/A,15-Feb-23,HU341580,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,434100,1158000,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Grunna Voe (Outer),10005345,SS0969,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,15-Feb-23,HU462621,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,446200,1162100,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Blueshell Mussels Ltd,Common mussel
Loura Voe,10005348,SS0970,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,15-Feb-23,HU471613,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,447100,1161300,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Blueshell Mussels Ltd,Common mussel
South East of Roesound Skerry,10005253,SS0961,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,19-May-22,HU331450,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,433100,1145000,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Tur Ness,10005256,SS0962,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,19-May-22,HU287762,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,428700,1176200,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
East of Houss Ness,10004594,SS0928,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,19-Aug-19,HU377294,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,437700,1129400,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
East of Stucko,10004605,SS0919,Common mussel,Shellfish spat,N/A,1,N/A,13-Jun-18,HU291772,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,429100,1177200,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
West of Grobsness,10004639,SS0914,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,05-Oct-17,HU366634,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,436600,1163400,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Oxa Geo,10004691,SS0912,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,04-Oct-17,HU369472,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,436900,1147200,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Gunnister Voe,10004570,SS0891,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,10-Dec-14,HU311742,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,431100,1174200,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
North West of Skerby Ayre,10004627,SS0890,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,10-Dec-14,HU445478,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,444500,1147800,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
East of Brunt Hamersland,10004591,SS0886,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Nov-14,HU448522,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,444800,1152200,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
East of Little Holm,10004596,SS0885,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Nov-14,HU456527,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,445600,1152700,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
East of Little Ness,10004599,SS0887,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Nov-14,HU477610,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,447700,1161000,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Blueshell Mussels Ltd,Common mussel
North West of Cul Houb,10004624,SS0888,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Nov-14,HU465682,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,446500,1168200,2c - NE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
West of Little Holm,10004688,SS0889,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Nov-14,HU443532,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,444300,1153200,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
"Inner Collafirth, Delting",10004567,SS0862,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,11-Jun-13,HU436694,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,443600,1169400,2c - NE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Seli Voe (Gardenhouse Voe),10004621,SS0861,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,11-Jun-13,HU333470,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,433300,1147000,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
West of Langa,10004642,SS0863,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,11-Jun-13,HU371394,Shetland,No,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,437100,1139400,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Bight of Warwick,10004615,SS0855,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,10-Apr-13,HU342609,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,High,434200,1160900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Houbanster,10004588,SS0856,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,10-Apr-13,HU349619,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,High,434900,1161900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Millburn,10004606,SS0857,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,10-Apr-13,HU347606,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,434700,1160600,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Hamar Voe,10004612,SS0833,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,05-Sep-11,HU306760,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,430600,1176000,4c - N St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Crying Taing,10004647,SS0816,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,03-Mar-10,HU469939,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,446900,1193900,Not in a management area,Shetland,Blueshell Mussels Ltd,Common mussel
Stany Pund,10004645,SS0815,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,03-Mar-10,HU477933,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,447700,1193300,Not in a management area,Shetland,Blueshell Mussels Ltd,Common mussel
Clifts Ronas Voe,10004636,SS0803,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,23-Oct-08,HU315809,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,431500,1180900,4b - Ronas Voe,Shetland,Blueshell Mussels Ltd,Common mussel
Hevden Ness,10004555,SS0782,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,08-Jun-07,HU357658,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,435700,1165800,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
North Linga,10004558,SS0783,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,08-Jun-07,HU355645,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,435500,1164500,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Wetherstaness,10004585,SS0784,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,08-Jun-07,HU358647,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,435800,1164700,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
NE of Vedri Geo Weisdale,10004712,SS0767,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Aug-06,HU380487,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,438000,1148700,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
The Rona Aith,10004709,SS0769,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,24-Aug-06,HU333595,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,High,433300,1159500,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Easter Hogaland,10004679,SS0731,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,21-Dec-04,HU392335,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,High,439200,1133500,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Point of Sletta,10004602,SS0704,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Jan-04,HU342588,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,High,434200,1158800,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
"NW Greena, Weisdale Voe",10004697,SS0697,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,07-Aug-03,HU376472,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,437600,1147200,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Foulawick,10004609,SS0677,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,01-Aug-02,HU375649,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,High,437500,1164900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Busta Voe,10004561,SS0671,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-May-02,HU347662,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,434700,1166200,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
"Lee, Busta Voe",10004552,SS0670,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-May-02,HU345649,Shetland,Yes,Muckle Roe,Brae,,ZE2 9QW,,Shellfish,Seawater,Medium,434500,1164900,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Ayre of Teogs,10004576,SS0660,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,25-Feb-02,HU294814,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,429400,1181400,4b - Ronas Voe,Shetland,Blueshell Mussels Ltd,Common mussel
"Papa Little, Aith Voe",10004685,SS0651,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,01-Oct-01,HU341601,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,434100,1160100,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Riskness,10004700,SS0652,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,01-Oct-01,HU232483,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,423200,1148300,"3b - Gruting, Vaila, Walls",Shetland,Blueshell Mussels Ltd,Common mussel
East Linga,10004582,SS0641,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,09-May-01,HU359640,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,435900,1164000,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Quilse,10004564,SS0642,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,09-May-01,HU385643,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,438500,1164300,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Ronas Voe (South),10004573,SS0638,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,17-Apr-01,HU329810,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,432900,1181000,4b - Ronas Voe,Shetland,Blueshell Mussels Ltd,Common mussel
Dales Voe,10004579,SS0620,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Jan-01,HU444444,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,444400,1144400,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
The Firth (Tresta North),10004703,SS0618,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Jan-01,HU343514,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,434300,1151400,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
The Firth (Tresta South),10004706,SS0619,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Jan-01,HU342508,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,434200,1150800,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Houss,10004676,SS0605,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,05-Sep-00,HU386320,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,438600,1132000,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Stream Sound,10004682,SS0606,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,05-Sep-00,HU394347,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,439400,1134700,3a - SW Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Wadbister Voe,10004405,SS0579,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,20-Jul-99,HU439505,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,443900,1150500,2b - SE Shetland mainland,Shetland,Blueshell Mussels Ltd,Common mussel
Lea Cro,10004649,SS0572,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,15-Feb-99,HU467947,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,446700,1194700,Not in a management area,Shetland,Blueshell Mussels Ltd,Common mussel
Ronas Voe (North),10004630,SS0546,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,06-Feb-96,HU328811,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,432800,1181100,4b - Ronas Voe,Shetland,Blueshell Mussels Ltd,Common mussel
"North of Linga, Vaila Sound",10004694,SS0541,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,01-Jun-95,HU240484,Shetland,Yes,c/o Blueshell Mussels Ltd,"Sparl, Brae",,ZE2 9QJ,,Shellfish,Seawater,Medium,424000,1148400,"3b - Gruting, Vaila, Walls",Shetland,Blueshell Mussels Ltd,Common mussel
Kurkigarth,10004618,SS0312,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,04-Feb-89,HU396637,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,439600,1163700,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,Common mussel
Carse of Ae Trout Farm,10001033,FS0100,Brook charr/ trout,Eggs (green or eyed),N/A,0,N/A,01-Jan-93,NY023863,Dumfries and Galloway,Yes,Parkgate,,,DG1 3NE,,Fish,Freshwater,Medium,302300,586300,Not in a management area,Dumfries & Galloway,Brow Well Fisheries Ltd,Brook charr/ trout
Ae Fishery,10001018,FS0189,Brook charr/ trout,Broodfish,N/A,1,N/A,24-Oct-91,NX996886,Dumfries and Galloway,Yes,Ae Fishery,Parkgate,,DG1 3LY,,Fish,Freshwater,Medium,299600,588600,Not in a management area,Dumfries & Galloway,Brow Well Fisheries Ltd,Brook charr/ trout
Mid Noost,10005132,SS0934,Flat or native oyster,Shellfish adults/saleable size,N/A,1,N/A,12-May-20,HU390513,Shetland,Yes,Heglabister,Weisdale,,ZE2 9LN,,Shellfish,Seawater,High,439000,1151300,3a - SW Shetland mainland,Shetland,C.W.C Brown Ltd,Flat or native oyster
Hamnavoe,10004519,SS0717,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,20-Aug-04,HU489794,Shetland,Yes,Cullivoe Pier,Yell,,ZE2 9DD,,Shellfish,Seawater,Low,448900,1179400,2c - NE Shetland mainland,Shetland,C&A Thomason Ltd,Common mussel
North Ayre,10004518,SS0661,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,11-Mar-02,HU522972,Shetland,Yes,Cullivoe Pier,Yell,,ZE2 9DD,,Shellfish,Seawater,Low,452200,1197200,"1b - S Unst, E Yell, Fetlar",Shetland,C&A Thomason Ltd,Common mussel
South Wick Cullivoe,10004514,SS0659,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,14-Feb-02,HP546016,Shetland,No,N/A,,,,,Shellfish,Seawater,,454600,1201600,,Shetland,C&A Thomason Ltd,Common mussel
Kirkabister,10004516,SS0646,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,27-Jun-01,HU533957,Shetland,Yes,Bastavoe,Yell,Shetland,-,,Shellfish,Seawater,Low,453300,1195700,"1b - S Unst, E Yell, Fetlar",Shetland,C&A Thomason Ltd,Common mussel
"Bastavoe, Yell",10004517,SS0635,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,10-Apr-01,HU518973,Shetland,Yes,Bastavoe,Yell,Shetland,-,,Shellfish,Seawater,Low,451800,1197300,"1b - S Unst, E Yell, Fetlar",Shetland,C&A Thomason Ltd,Common mussel
Whalefirth,10004522,SS0636,Common mussel,Shellfish spat,N/A,1,N/A,10-Apr-01,HU483926,Shetland,Yes,Whalefirth,Yell,Shetland,-,,Shellfish,Seawater,Medium,448300,1192600,Not in a management area,Shetland,C&A Thomason Ltd,Common mussel
Shalder's Ayre,10004515,SS0558,Common mussel,Shellfish spat,N/A,0,N/A,19-Mar-98,HU386395,Shetland,No,N/A,,,,,Shellfish,Seawater,Low,438600,1139500,3a - SW Shetland mainland,Shetland,C&A Thomason Ltd,Common mussel
Lochaline Native OED Restoration Proj,10005181,SS0954,Flat or native oyster,Shellfish adults/saleable size,N/A,1,N/A,10-Jun-21,NM682453,Highland,No,Cala Lochaline Harbour,,Morvern,PA80 5XT,,Shellfish,Seawater,High,168200,745300,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,CAOLAS,Flat or native oyster
Leac Nan Sgarbh Little Loch Broom,10005019,SS0877,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,08-Apr-14,NH082888,Highland,Yes,Ruabhal,26 Woodland Park,Contin Ross-shire,IV14 9EU,,Shellfish,Seawater,High,208200,888800,10d - Little Loch Broom,Highland,Charron Ltd,Common mussel
Allanton Park Quarantine,10005156,SS0952,Flat or native oyster,Shellfish adults/saleable size,N/A,0,N/A,11-Feb-21,NS209558,North Ayrshire,No,1 Allanton Park Terrace,Fairlie,North Ayrshire,KA29 0AW,,Shellfish,Seawater,High,220900,655800,Not in a management area,Strathclyde,Clyde Porpoise CIC,Flat or native oyster
Fairlie Quay Marina,10005158,SS0951,Flat or native oyster,Shellfish adults/saleable size,N/A,0,N/A,11-Feb-21,NS206562,North Ayrshire,No,1 Allanton Park Terrace,Fairlie,North Ayrshire,KA29 0AW,,Shellfish,Seawater,High,220600,656200,Not in a management area,Strathclyde,Clyde Porpoise CIC,Flat or native oyster
Largs Yacht Haven,10005157,SS0950,Flat or native oyster,Shellfish adults/saleable size,N/A,0,N/A,11-Feb-21,NS208571,North Ayrshire,No,1 Allanton Park Terrace,Fairlie,North Ayrshire,KA29 0AW,,Shellfish,Seawater,High,220800,657100,Not in a management area,Strathclyde,Clyde Porpoise CIC,Flat or native oyster
College Mill,10000056,FS0052,Brown Trout and sea trout,Fish weighing more than 5 grams,N/A,1,N/A,17-Aug-73,NO067259,Perth and Kinross,Yes,College Mill Trout Farm,Almondbank,,PH1 3JY,,Fish,Freshwater,Medium,306700,725900,Not in a management area,Tayside,College Mill Trout Farm,Brown Trout and sea trout
